Senator,Birth_State,Birth_Town,Appointed,After Civil War,Popular Vote,Count
William Few,Maryland,Baltimore,0,0,0,1
James Jackson,England,Devon,0,0,0,1
George Walton,Virginia,Cumberland County,1,0,0,1
Abraham Baldwin,Connecticut,Guilford,0,0,0,1
George Jones,Georgia,Savannah,1,0,0,1
William Bellinger Bulloch,Georgia,Savannah,1,0,0,1
William H. Crawford,Virginia,Amherst County,0,0,0,1
William Wyatt Bibb,Virginia,Amelia County,0,0,0,1
George Troup,Alabama,McIntosh Bluff,0,0,0,1
John Forsyth,Virginia,Fredericksburg,0,0,0,1
Freeman Walker,Virginia,Charles City,0,0,0,1
Nicholas Ware,Virginia,Caroline County,0,0,0,1
Oliver H. Prince,Connecticut,Montville,0,0,0,1
John Pendleton King,Kentucky,Glasgow,0,0,0,1
Wilson Lumpkin,Virginia,Dan River,0,0,0,1
John Macpherson Berrien,New Jersey,Rocky Hill,0,0,0,1
Robert M. Charlton,Georgia,Savannah,1,0,0,1
Robert Toombs,Georgia,Washington,0,0,0,1
Homer V.M. Miller,South Carolina,Pendleton,0,1,0,1
Thomas M. Norwood,Georgia,Talbot County,0,1,0,1
Benjamin Harvey Hill,Georgia,Jasper County,0,1,0,1
Middleton P. Barrow,Georgia,Oglethorpe County,0,1,0,1
Alfred H. Colquitt,Georgia,Monroe,0,1,0,1
Patrick Walsh,Ireland,Ballingarry,1,1,0,1
Augustus Octavius Bacon,Georgia,Bryan County,0,1,1,1
William S. West,Georgia,Buena Vista,1,1,1,1
Thomas W. Hardwick,Georgia,Thomasville,0,1,1,1
William J. Harris,Georgia,Cedartown,0,1,1,1
John S. Cohen,Georgia,Augusta,1,1,1,1
Richard Russell Jr.,Georgia,Winder,0,1,1,1
David H. Gambrell,Georgia,Atlanta,1,1,1,1
Sam Nunn,Georgia,Macon,0,1,1,1
Max Cleland,Georgia,Atlanta,0,1,1,1
Saxby Chambliss,North Carolina,Warrenton,0,1,1,1
David Perdue,Georgia,Macon,0,1,1,1
James Gunn,Virginia,,0,0,0,1
John Milledge,Georgia,Savannah,0,0,0,1
Charles Tait,Virginia,Hanover,0,0,0,1
John Elliott,Georgia,Liberty County,0,0,0,1
Alfred Cuthbert,Georgia,Savannah,0,0,0,1
Walter T. Colquitt,Virginia,Halifax County,0,0,0,1
Herschel Vespasian Johnson,Georgia,Burke County,1,0,0,1
William Crosby Dawson,Georgia,Greensboro,0,0,0,1
"Alfred Iverson, Sr.",Georgia,Liberty County,0,0,0,1
Joshua Hill,South Carolina,Abbeville County,0,1,0,1
John Brown Gordon,Georgia,Upson County,0,1,0,1
Joseph E. Brown,South Carolina,Pickens,0,1,0,1
Alexander S. Clay,Georgia,Powder Springs,0,1,0,1
Joseph M. Terrell,Georgia,Greenville,0,1,0,1
M. Hoke Smith,North Carolina,Newton,0,1,1,1
Thomas E. Watson,Georgia,Thomson,0,1,1,1
Rebecca Latimer Felton,Georgia,Decatur,1,1,1,1
Walter F. George,Georgia,Vienna,0,1,1,1
Herman E. Talmadge,Georgia,McRae,0,1,1,1
Mack Mattingly,Indiana,Anderson,0,1,1,1
Wyche Fowler,Georgia,Atlanta,0,1,1,1
Paul Coverdell,Iowa,Des Moines,0,1,1,1
Zell Miller,Georgia,Young Harris,0,1,1,1
Johnny Isakson,Georgia,Atlanta,0,1,1,1
Kelly Loeffler,Illinois,Bloomington,1,1,1,1
